id,text,label
979280898224101,Ọnye Igbo na ekpe Alakụba,Normal
1786794448411754,"Otu nwaanyị na mba Kenya agụola ejima atọ ya aha ndị ọgba bọọlụ Arsenal. Ọ gụrụ ha niile Gabriel bụ Gabriel Martinelli, Gabriel Magalhaes na Gabriel Jesus. Epakan Ekaala kọwara na ọ gụrụ ha aha a iji kwanyere otu ndị nkwado Arsenal ugwu dịka ha gosiri ya ihe ịhụnanya bụ . Otu ndị nkwado Arsenal n'obodo Turkana bu onyinye gụnyere ncha e ji asa akwa nakwa mmiri ala ehi nye ya n'ụlọọgwụ ebe ọ mụrụ nwa",Normal
1448928180334203,"Odikwa Egwu, o bu zi n m ga azaari aha, aha di ka Yusuf George Onyekachi Israel Louis tupu m nwete ezigbo oru na ala obodo anyi . Mustafa chike obi.....o dikwa egwu, o bu zi kwa Nne ya ka o bu Nna bu onye fulani hausa. Umuigbo ibe m, biko soro nu m tughari uche na nke a, maka na nke a nuwa edoghizi m anya.__Young prof. (FIDELITY BANK CHAIRMAN__MUSTAFA CHIKE-OBI).... Am a little bit perplexed",Normal
749270574913457,Nke a bụ ihe Onyeisiala Naịjirịa bụ Bola Tinubu gwara ndị mịnịsta ya dịka ọchịchị ya na-akwado ịgba otu afọ. O kwuru na ha agaghị eme emume dara ụda n'ihi nke a kama na ọ bụ oge iji leghachị anya n'azụ ị maara etu njem ha si dị n'ime otu afọ,Normal
1301120035509088,Ofu onye anahi anu uda Egbe... Asim na Elu na Ala ga anu maka iheoma na Ndi gi,Normal
1441485338025307,Eno kwuru na ya banyere APC iji kwado ngbanwe akụnaụba nke Onyeisiala Bola Tinubu na-eme. Gịnị ka i chere,Normal
1885263652429312,"Kedu mgbe obodo a ga adi mma, lezie nu ka umu mmadu si kwuru na eche fuel. Mana ndi ndu anyi na ndi onu na eru na okwu na obo anyi na eji nganga abanye na ulo fuel, ma gbaukwa ugbo ala ha. Kedu ihe anyi ji isi kote na obodo naija",Normal
1447740293706683,Ndewo nu umu Igbo_BiafransTa bu ahia Oku Chukwu okike gozie anyi Nile iseee. Join me live by 12 pm Biafra time. Topic: Onye mara nwanne ya,Normal
1376541264525635,"Ütütü öma Ụmụ Igbo. Ka Afor tata bụrụ oke ubochi ngozi na ndu nwoke na nwanyị Chi na ikenga gi, gozie ya tata Ndị Mmili gi,gọzie gị tata Ka Ndị Ichie, Aja Ana, Ezumezu mmụọ na Akwali Omumu gị, nyere aka tata gozie ma dozie ndu onye ọ bụna na agụ edemede nke a tata bu Afọr ISEEEEEEEEEEE",Normal
1414447554045063,Agaghị m agbaru ndị Fulani odibo… ihe m chọrọ bụ nnwere onwe ụmụnne m. This is a spirit of s in human form,Hate
